type,id,links_to,artifact
Deliverable,DEL-001,ACR-101;TEST-ACPT-42;FILE-src/api/handler.ts,deliverables/DEL-001.yaml
Acceptance,ACR-101,TEST-ACPT-42,deliverables/DEL-001.yaml
Test,TEST-ACPT-42,EVID-ACPT-42,tests/acceptance/user_creates_order.feature
Evidence,EVID-ACPT-42,,reports/acpt/run.json
File,FILE-src/api/handler.ts,DEL-001,src/api/handler.ts
Contract,CT-API,TEST-CT-API,contracts/openapi.yaml
Deliverable,DEL-002,ACR-201;TEST-CT-API;FILE-contracts/openapi.yaml,deliverables/DEL-002.yaml
Acceptance,ACR-201,TEST-CT-API,deliverables/DEL-002.yaml
Test,TEST-CT-API,EVID-CT-API,tests/contract/openapi.spec.ts
Evidence,EVID-CT-API,,reports/contract/jest.json
Deliverable,DEL-003,ACR-301;FILE-.github/workflows/ci.yml,deliverables/DEL-003.yaml
File,FILE-.github/workflows/ci.yml,DEL-003,.github/workflows/ci.yml
